intensity,row
5329,1
5376,2
5398,3
5340,4
5303,5
5275,6
5279,7
5309,8
5223,9
5188,10
5177,11
5187,12
5141,13
5102,14
5098,15
5094,16
5022,17
4969,18
4852,19
4745,20
4669,21
4638,22
4543,23
4485,24
4364,25
4359,26
4336,27
4290,28
4231,29
4227,30
4178,31
4171,32
4018,33
3982,34
4044,35
4014,36
4053,37
4064,38
4062,39
4023,40
3994,41
3975,42
3975,43
3956,44
3903,45
3879,46
3881,47
3902,48
3888,49
3891,50
3885,51
3853,52
3825,53
3832,54
3830,55
3803,56
3899,57
3887,58
3889,59
3897,60
3907,61
3860,62
3870,63
3866,64
3874,65
3869,66
3884,67
3943,68
3987,69
3990,70
4008,71
4023,72
4029,73
4034,74
4070,75
4097,76
4156,77
4170,78
4206,79
4213,80
4293,81
4301,82
4375,83
4392,84
4446,85
4428,86
4465,87
4531,88
4649,89
4683,90
4722,91
4708,92
4756,93
4752,94
4826,95
4815,96
4891,97
4947,98
4943,99
4968,100
5011,101
5048,102
5044,103
5100,104
5177,105
5127,106
5135,107
5118,108
5193,109
5211,110
5216,111
5252,112
5406,113
5388,114
5414,115
5441,116
5564,117
5575,118
5559,119
5564,120
5669,121
5716,122
5793,123
5823,124
5978,125
5993,126
6014,127
6050,128
6172,129
6175,130
6215,131
6276,132
6497,133
6586,134
6673,135
6703,136
6917,137
6996,138
7012,139
7039,140
7406,141
7509,142
7587,143
7684,144
7983,145
8052,146
8110,147
8168,148
8457,149
8495,150
8615,151
8676,152
8922,153
8995,154
9120,155
9201,156
9589,157
9698,158
9879,159
10026,160
10535,161
10662,162
10888,163
11115,164
11853,165
12291,166
12747,167
13082,168
13863,169
14148,170
14579,171
14911,172
15683,173
15921,174
16277,175
16599,176
17375,177
17692,178
18072,179
18456,180
19200,181
19483,182
19837,183
20193,184
20740,185
20982,186
21307,187
21624,188
22222,189
22413,190
22645,191
22844,192
23192,193
23451,194
23705,195
23966,196
24253,197
24391,198
24621,199
24798,200
25094,201
25168,202
25321,203
25454,204
25887,205
25984,206
26146,207
26291,208
26535,209
26673,210
26835,211
27001,212
27253,213
27486,214
27814,215
28178,216
28717,217
29121,218
29481,219
29719,220
29874,221
29932,222
30456,223
31908,224
36546,225
37691,226
38695,227
39434,228
40365,229
40623,230
40991,231
41164,232
41388,233
41436,234
41450,235
41426,236
41270,237
41130,238
40934,239
40572,240
38840,241
36530,242
34083,243
32558,244
30545,245
30049,246
29385,247
29168,248
28401,249
28134,250
27836,251
27615,252
27013,253
26742,254
26377,255
26029,256
25262,257
24898,258
24403,259
24008,260
23065,261
22500,262
21773,263
21231,264
19595,265
18643,266
17692,267
17008,268
15076,269
14259,270
13270,271
12563,272
10594,273
10215,274
9843,275
9690,276
9100,277
9005,278
8888,279
8791,280
8428,281
8329,282
8212,283
8139,284
7862,285
7813,286
7691,287
7637,288
7428,289
7348,290
7335,291
7254,292
6975,293
6932,294
6872,295
6848,296
6698,297
6677,298
6648,299
6602,300
6467,301
6451,302
6431,303
6398,304
6294,305
6250,306
6238,307
6242,308
6090,309
6085,310
6064,311
6041,312
5902,313
5836,314
5805,315
5786,316
5658,317
5648,318
5578,319
5559,320
5501,321
5477,322
5470,323
5415,324
5289,325
5305,326
5276,327
5254,328
5215,329
5172,330
5163,331
5145,332
5051,333
5047,334
5042,335
5045,336
5038,337
5033,338
5006,339
5011,340
4891,341
4875,342
4855,343
4846,344
4777,345
4777,346
4776,347
4783,348
4705,349
4672,350
4680,351
4653,352
4591,353
4545,354
4567,355
4531,356
4492,357
4464,358
4437,359
4462,360
4472,361
4431,362
4432,363
4469,364
4457,365
4464,366
4452,367
4443,368
4476,369
4502,370
4496,371
4456,372
4420,373
4461,374
4459,375
4466,376
4533,377
4536,378
4518,379
4496,380
4464,381
4464,382
4472,383
4511,384
4529,385
4542,386
4526,387
4526,388
4487,389
4465,390
4446,391
4446,392
4411,393
4431,394
4453,395
4388,396
4332,397
4362,398
4328,399
4311,400
4347,401
4360,402
4372,403
4348,404
4397,405
4405,406
4357,407
4366,408
4337,409
4332,410
4341,411
4320,412
4297,413
4288,414
4297,415
4322,416
4338,417
4345,418
4328,419
4301,420
4308,421
4281,422
4308,423
4306,424
4321,425
4330,426
4334,427
4300,428
4269,429
4312,430
4331,431
4339,432
4332,433
4319,434
4310,435
4319,436
4342,437
4261,438
4228,439
4259,440
4261,441
4252,442
4276,443
4290,444
4320,445
4366,446
4337,447
4339,448
4377,449
4369,450
4406,451
4437,452
4449,453
4420,454
4441,455
4431,456
4441,457
4466,458
4456,459
4478,460
4604,461
4616,462
4640,463
4586,464
4601,465
4535,466
4497,467
4512,468
4551,469
4571,470
4589,471
4590,472
4606,473
4577,474
4621,475
4654,476
4737,477
4748,478
4811,479
5049,480
