time_boot_ms,time_boot_s,luminosity
514940,514.94,0
515350,515.35,0
515490,515.49,0
515620,515.62,0
515750,515.75,0
515890,515.89,0
516020,516.02,0
516150,516.15,0
516290,516.29,0
516420,516.42,0
516550,516.55,0
516690,516.69,0
516830,516.83,0
516960,516.96,0
517090,517.09,0
517220,517.22,0
517350,517.35,0
517480,517.48,0
517610,517.61,0
517740,517.74,0
517880,517.88,0
518010,518.01,0
518170,518.17,0
518300,518.3,0
518430,518.43,0
518560,518.56,0
518690,518.69,0
518820,518.82,0
518960,518.96,0
519090,519.09,0
519220,519.22,0
519350,519.35,0
519490,519.49,0
519620,519.62,0
519750,519.75,0
519880,519.88,0
520010,520.01,0
520140,520.14,0
520290,520.29,0
520430,520.43,0
520560,520.56,0
520690,520.69,0
520830,520.83,0
520960,520.96,0
521090,521.09,0
521220,521.22,0
521360,521.36,0
521490,521.49,0
521620,521.62,0
521750,521.75,0
521880,521.88,0
522010,522.01,0
522150,522.15,0
522290,522.29,0
522420,522.42,0
522550,522.55,0
522680,522.68,0
522810,522.81,0
522940,522.94,0
523080,523.08,0
523220,523.22,0
523350,523.35,0
523490,523.49,0
523620,523.62,0
523750,523.75,0
523880,523.88,0
524010,524.01,0
524140,524.14,0
524290,524.29,0
524420,524.42,0
524550,524.55,0
524680,524.68,0
524820,524.82,0
524960,524.96,0
525090,525.09,0
525220,525.22,0
525350,525.35,0
525500,525.5,0
525630,525.63,0
525770,525.77,0
525910,525.91,0
526040,526.04,0
526180,526.18,0
526310,526.31,0
526440,526.44,0
526570,526.57,0
526700,526.7,0
526830,526.83,0
526960,526.96,0
527090,527.09,0
527220,527.22,0
527360,527.36,0
527500,527.5,0
527630,527.63,0
527770,527.77,0
527900,527.9,0
528030,528.03,0
528170,528.17,0
528300,528.3,0
528430,528.43,0
528560,528.56,0
528690,528.69,0
528830,528.83,0
528970,528.97,0
529100,529.1,0
529250,529.25,0
529380,529.38,0
529520,529.52,0
529650,529.65,0
529790,529.79,0
529920,529.92,0
530210,530.21,0
530340,530.34,0
530470,530.47,0
530610,530.61,0
530740,530.74,0
530870,530.87,0
531000,531,0
531130,531.13,0
531270,531.27,0
531400,531.4,0
531540,531.54,0
531910,531.91,0
532040,532.04,0
532170,532.17,0
532300,532.3,0
532430,532.43,0
532560,532.56,0
532690,532.69,0
532820,532.82,0
532950,532.95,0
533110,533.11,0
533240,533.24,0
533390,533.39,0
533520,533.52,0
533650,533.65,0
533780,533.78,0
533910,533.91,0
534040,534.04,0
534170,534.17,0
534310,534.31,0
534450,534.45,0
534580,534.58,0
534710,534.71,0
534840,534.84,0
534970,534.97,0
535100,535.1,0
535240,535.24,0
535390,535.39,0
535520,535.52,0
535650,535.65,0
535790,535.79,0
535930,535.93,0
536070,536.07,0
536200,536.2,0
536330,536.33,0
536460,536.46,0
536590,536.59,0
536720,536.72,0
536880,536.88,0
537010,537.01,0
537150,537.15,0
537280,537.28,0
537410,537.41,0
537540,537.54,0
537670,537.67,0
537800,537.8,0
537930,537.93,0
538060,538.06,0
538190,538.19,0
538320,538.32,0
538460,538.46,0
538590,538.59,0
538730,538.73,0
538870,538.87,0
539000,539,0
539130,539.13,0
539680,539.68,0
539820,539.82,0
539950,539.95,0
540100,540.1,0
540230,540.23,0
540370,540.37,0
540520,540.52,0
540650,540.65,0
540780,540.78,0
540910,540.91,0
541040,541.04,0
541180,541.18,0
541310,541.31,0
541440,541.44,0
541570,541.57,0
541700,541.7,0
541830,541.83,0
541960,541.96,0
542100,542.1,0
542230,542.23,0
542370,542.37,0
542510,542.51,0
542640,542.64,0
542770,542.77,0
542900,542.9,0
543030,543.03,0
543160,543.16,0
543300,543.3,0
543430,543.43,0
543560,543.56,0
543690,543.69,0
543830,543.83,0
543960,543.96,0
544110,544.11,0
544240,544.24,0
544400,544.4,0
544530,544.53,0
544670,544.67,0
544810,544.81,0
544940,544.94,0
545070,545.07,0
545210,545.21,0
545340,545.34,0
545480,545.48,0
545610,545.61,0
545740,545.74,0
545890,545.89,0
546020,546.02,0
546150,546.15,0
546280,546.28,0
546410,546.41,0
546550,546.55,0
546680,546.68,0
546810,546.81,0
546940,546.94,0
547070,547.07,0
547200,547.2,0
547340,547.34,0
547470,547.47,0
547600,547.6,0
547730,547.73,0
547910,547.91,0
548040,548.04,0
548180,548.18,0
548310,548.31,0
548440,548.44,0
548580,548.58,0
548710,548.71,0
548840,548.84,0
548980,548.98,0
549110,549.11,0
549250,549.25,0
549400,549.4,0
549530,549.53,0
549660,549.66,0
549790,549.79,0
549920,549.92,0
550050,550.05,0
550180,550.18,0
550310,550.31,0
550440,550.44,0
550580,550.58,0
550720,550.72,0
550850,550.85,0
550980,550.98,0
551110,551.11,0
551240,551.24,0
551390,551.39,0
551540,551.54,0
551670,551.67,0
551800,551.8,0
551940,551.94,0
552070,552.07,0
552200,552.2,0
552330,552.33,0
552460,552.46,0
552590,552.59,0
552720,552.72,0
552870,552.87,0
553000,553,0
553130,553.13,0
553270,553.27,0
553400,553.4,0
553530,553.53,0
553660,553.66,0
553790,553.79,0
553920,553.92,0
554060,554.06,0
554190,554.19,0
554320,554.32,0
554450,554.45,0
554590,554.59,0
554720,554.72,0
554850,554.85,0
554980,554.98,0
555110,555.11,0
555260,555.26,0
555390,555.39,0
555520,555.52,0
555650,555.65,0
555780,555.78,0
555920,555.92,0
556050,556.05,0
556180,556.18,0
556310,556.31,0
556440,556.44,0
556570,556.57,0
556700,556.7,0
556830,556.83,0
