time_boot_ms,time_boot_s,xacc,xacc_g,yacc,yacc_g,zacc,zacc_g,xgyro,xgyro_dps,ygyro,ygyro_dps,zgyro,zgyro_dps,xmag,ymag,zmag
515640,515.64,425,0.425,-327,-0.327,-7949,-7.949,-11,-0.630573248407643,-1,-0.057324840764331,0,0,0,0,0
516140,516.14,424,0.424,-327,-0.327,-7936,-7.936,-11,-0.630573248407643,1,0.057324840764331,-3,-0.171974522292994,0,0,0
516640,516.64,426,0.426,-331,-0.331,-7937,-7.937,-12,-0.687898089171974,1,0.057324840764331,-3,-0.171974522292994,0,0,0
517140,517.14,424,0.424,-333,-0.333,-7921,-7.921,-11,-0.630573248407643,-4,-0.229299363057325,-5,-0.286624203821656,0,0,0
517640,517.64,418,0.418,-322,-0.322,-7918,-7.918,-13,-0.745222929936306,-2,-0.114649681528662,-3,-0.171974522292994,0,0,0
518140,518.14,425,0.425,-333,-0.333,-7944,-7.944,-13,-0.745222929936306,-1,-0.057324840764331,-1,-0.057324840764331,0,0,0
518640,518.64,422,0.422,-318,-0.318,-7945,-7.945,-12,-0.687898089171974,-8,-0.45859872611465,0,0,0,0,0
519140,519.14,420,0.42,-333,-0.333,-7936,-7.936,-7,-0.401273885350318,-3,-0.171974522292994,-3,-0.171974522292994,0,0,0
519640,519.64,426,0.426,-333,-0.333,-7940,-7.94,-14,-0.802547770700637,-1,-0.057324840764331,-3,-0.171974522292994,0,0,0
520140,520.14,427,0.427,-324,-0.324,-7936,-7.936,-11,-0.630573248407643,-5,-0.286624203821656,-2,-0.114649681528662,0,0,0
520640,520.64,419,0.419,-325,-0.325,-7939,-7.939,-12,-0.687898089171974,-5,-0.286624203821656,-4,-0.229299363057325,0,0,0
521140,521.14,418,0.418,-332,-0.332,-7932,-7.932,-13,-0.745222929936306,0,0,-3,-0.171974522292994,0,0,0
521640,521.64,419,0.419,-328,-0.328,-7937,-7.937,-8,-0.45859872611465,-1,-0.057324840764331,-2,-0.114649681528662,0,0,0
522140,522.14,425,0.425,-330,-0.33,-7944,-7.944,-11,-0.630573248407643,-5,-0.286624203821656,-4,-0.229299363057325,0,0,0
522640,522.64,425,0.425,-328,-0.328,-7931,-7.931,-12,-0.687898089171974,-4,-0.229299363057325,-4,-0.229299363057325,0,0,0
523140,523.14,416,0.416,-332,-0.332,-7934,-7.934,-11,-0.630573248407643,-1,-0.057324840764331,-3,-0.171974522292994,0,0,0
523640,523.64,423,0.423,-330,-0.33,-7937,-7.937,-11,-0.630573248407643,-4,-0.229299363057325,-4,-0.229299363057325,0,0,0
524140,524.14,427,0.427,-328,-0.328,-7932,-7.932,-8,-0.45859872611465,-9,-0.515923566878981,-4,-0.229299363057325,0,0,0
524640,524.64,419,0.419,-330,-0.33,-7928,-7.928,-16,-0.917197452229299,-1,-0.057324840764331,-5,-0.286624203821656,0,0,0
