time_boot_ms,,press_abs,press_diff,temperature,temperature_c
514940,514.94,994.082702636719,1.10373345771153E-19,2928,29.28
515350,515.35,994.081909179688,1.10373345771153E-19,2930,29.3
515490,515.49,994.040100097656,1.10373345771153E-19,2929,29.29
515620,515.62,994.037780761719,1.10373345771153E-19,2930,29.3
515750,515.75,994.06494140625,1.10373345771153E-19,2930,29.3
515890,515.89,994.041931152344,1.10373345771153E-19,2931,29.31
516020,516.02,994.07958984375,1.10373345771153E-19,2931,29.31
516150,516.15,994.076904296875,1.10373345771153E-19,2931,29.31
516290,516.29,994.080688476562,1.10373345771153E-19,2932,29.32
516420,516.42,994.073181152344,1.10373345771153E-19,2931,29.31
516550,516.55,994.063720703125,1.10373345771153E-19,2932,29.32
516690,516.69,994.0810546875,1.10373345771153E-19,2932,29.32
516830,516.83,994.051208496094,1.10373345771153E-19,2932,29.32
516960,516.96,994.088562011719,1.10373345771153E-19,2932,29.32
517090,517.09,994.057678222656,1.10373345771153E-19,2932,29.32
517220,517.22,994.065185546875,1.10373345771153E-19,2933,29.33
517350,517.35,994.039123535156,1.10373345771153E-19,2933,29.33
517480,517.48,994.0625,1.10373345771153E-19,2933,29.33
517610,517.61,994.082824707031,1.10373345771153E-19,2933,29.33
517740,517.74,994.074462890625,1.10373345771153E-19,2934,29.34
517880,517.88,994.051086425781,1.10373345771153E-19,2935,29.35
518010,518.01,994.103088378906,1.10373345771153E-19,2935,29.35
518170,518.17,994.07861328125,1.10373345771153E-19,2935,29.35
518300,518.3,994.065368652344,1.10373345771153E-19,2935,29.35
518430,518.43,994.069152832031,1.10373345771153E-19,2935,29.35
518560,518.56,994.055969238281,1.10373345771153E-19,2936,29.36
518690,518.69,994.080078125,1.10373345771153E-19,2936,29.36
518820,518.82,994.062744140625,1.10373345771153E-19,2936,29.36
518960,518.96,994.052185058594,1.10373345771153E-19,2935,29.35
519090,519.09,994.042724609375,1.10373345771153E-19,2936,29.36
519220,519.22,994.033264160156,1.10373345771153E-19,2936,29.36
519350,519.35,994.057006835937,1.10373345771153E-19,2936,29.36
519490,519.49,994.0615234375,1.10373345771153E-19,2937,29.37
519620,519.62,994.081481933594,1.10373345771153E-19,2937,29.37
519750,519.75,994.027587890625,1.10373345771153E-19,2937,29.37
519880,519.88,994.083312988281,1.10373345771153E-19,2938,29.38
520010,520.01,994.065612792969,1.10373345771153E-19,2938,29.38
520140,520.14,994.046020507813,1.10373345771153E-19,2938,29.38
520290,520.29,994.07763671875,1.10373345771153E-19,2939,29.39
