time_boot_ms,time_boot_s,distance
514940,514.94,20
515350,515.35,20
515490,515.49,20
515620,515.62,20
515750,515.75,20
515890,515.89,20
516020,516.02,20
516150,516.15,20
516290,516.29,20
516420,516.42,20
516550,516.55,20
516690,516.69,20
516830,516.83,20
516960,516.96,20
517090,517.09,20
517220,517.22,20
517350,517.35,20
517480,517.48,20
517610,517.61,20
517740,517.74,20
517880,517.88,20
518010,518.01,20
518170,518.17,20
518300,518.3,20
518430,518.43,20
518560,518.56,20
518690,518.69,20
518820,518.82,20
518960,518.96,20
519090,519.09,20
519220,519.22,20
519350,519.35,20
519490,519.49,20
519620,519.62,20
519750,519.75,20
519880,519.88,20
520010,520.01,20
520140,520.14,20
520290,520.29,20
520430,520.43,20
520560,520.56,20
520690,520.69,20
520830,520.83,20
520960,520.96,20
521090,521.09,20
521220,521.22,20
521360,521.36,20
521490,521.49,20
521620,521.62,20
521750,521.75,20
521880,521.88,20
522010,522.01,20
522150,522.15,20
522290,522.29,20
522420,522.42,20
522550,522.55,20
522680,522.68,20
522810,522.81,20
522940,522.94,20
523080,523.08,20
523220,523.22,20
523350,523.35,20
523490,523.49,20
523620,523.62,20
523750,523.75,20
523880,523.88,20
524010,524.01,20
524140,524.14,20
524290,524.29,20
524420,524.42,20
524550,524.55,20
524680,524.68,20
524820,524.82,20
524960,524.96,20
525090,525.09,20
525220,525.22,20
525350,525.35,20
525500,525.5,20
525630,525.63,20
525770,525.77,20
525910,525.91,20
526040,526.04,20
526180,526.18,20
526310,526.31,20
526440,526.44,20
526570,526.57,20
526700,526.7,20
526830,526.83,20
526960,526.96,20
527090,527.09,20
527220,527.22,20
527360,527.36,20
527500,527.5,20
527630,527.63,20
527770,527.77,20
527900,527.9,20
528030,528.03,20
528170,528.17,20
528300,528.3,20
528430,528.43,20
528560,528.56,20
528690,528.69,20
528830,528.83,20
528970,528.97,20
529100,529.1,20
529250,529.25,20
529380,529.38,20
529520,529.52,20
529650,529.65,20
529790,529.79,20
530210,530.21,20
530340,530.34,20
530470,530.47,20
530610,530.61,20
530740,530.74,20
530870,530.87,20
531000,531,20
531130,531.13,20
531270,531.27,20
531400,531.4,20
531540,531.54,20
531910,531.91,20
532040,532.04,20
532170,532.17,20
532300,532.3,20
532430,532.43,20
532560,532.56,20
532690,532.69,20
532820,532.82,20
532950,532.95,20
533110,533.11,20
533240,533.24,20
533390,533.39,20
533520,533.52,20
533650,533.65,20
533780,533.78,20
533910,533.91,20
534040,534.04,20
534170,534.17,20
534310,534.31,20
534450,534.45,20
534580,534.58,20
534710,534.71,20
534840,534.84,20
534970,534.97,20
535100,535.1,20
535240,535.24,20
535390,535.39,20
535520,535.52,20
535650,535.65,20
535790,535.79,20
535930,535.93,20
536070,536.07,20
536200,536.2,20
536330,536.33,20
536460,536.46,20
536590,536.59,20
536720,536.72,20
536880,536.88,20
537010,537.01,20
537150,537.15,20
537280,537.28,20
537410,537.41,20
537540,537.54,20
537670,537.67,20
537800,537.8,20
537930,537.93,20
538060,538.06,20
538190,538.19,20
538320,538.32,20
538460,538.46,20
538590,538.59,20
538730,538.73,20
538870,538.87,20
539000,539,20
539130,539.13,20
539540,539.54,20
539680,539.68,20
539820,539.82,20
539950,539.95,20
540100,540.1,20
540230,540.23,20
540370,540.37,20
540520,540.52,20
540650,540.65,20
540780,540.78,20
540910,540.91,20
541040,541.04,20
541180,541.18,20
541310,541.31,20
541440,541.44,20
541570,541.57,20
541700,541.7,20
541830,541.83,20
541960,541.96,20
542100,542.1,20
542230,542.23,20
542370,542.37,20
542510,542.51,20
542640,542.64,20
542770,542.77,20
542900,542.9,20
543030,543.03,20
543160,543.16,20
543300,543.3,20
543430,543.43,20
543560,543.56,20
543690,543.69,20
543830,543.83,20
543960,543.96,20
544110,544.11,20
544240,544.24,20
544400,544.4,20
544530,544.53,20
544670,544.67,31
544810,544.81,20
544940,544.94,20
545070,545.07,20
545210,545.21,20
545340,545.34,20
545480,545.48,20
545610,545.61,20
545740,545.74,20
545890,545.89,20
546020,546.02,20
546150,546.15,20
546280,546.28,20
546410,546.41,20
546550,546.55,20
546680,546.68,20
546810,546.81,20
546940,546.94,20
547070,547.07,20
547200,547.2,20
547340,547.34,20
547470,547.47,20
547600,547.6,20
547730,547.73,20
547910,547.91,20
548040,548.04,20
548180,548.18,20
548310,548.31,20
548440,548.44,20
548580,548.58,20
548710,548.71,20
548840,548.84,20
548980,548.98,20
549110,549.11,20
549250,549.25,20
549400,549.4,20
549530,549.53,20
549660,549.66,20
549790,549.79,20
549920,549.92,20
550050,550.05,20
550180,550.18,20
550310,550.31,20
550440,550.44,20
550580,550.58,20
550720,550.72,20
550850,550.85,20
550980,550.98,20
551110,551.11,20
551240,551.24,20
551390,551.39,20
551540,551.54,20
551670,551.67,20
551800,551.8,20
551940,551.94,20
552070,552.07,20
552200,552.2,20
552330,552.33,20
552460,552.46,20
552590,552.59,20
552720,552.72,20
552870,552.87,20
553000,553,20
553130,553.13,20
553270,553.27,20
553400,553.4,20
553530,553.53,20
553660,553.66,20
553790,553.79,20
553920,553.92,20
554060,554.06,20
554190,554.19,20
554320,554.32,20
554450,554.45,20
554590,554.59,20
554720,554.72,20
554850,554.85,20
554980,554.98,20
555110,555.11,20
555260,555.26,20
555390,555.39,20
555520,555.52,20
555650,555.65,20
555780,555.78,20
555920,555.92,20
556050,556.05,20
556180,556.18,20
556310,556.31,20
556440,556.44,20
556570,556.57,20
556700,556.7,20
556830,556.83,20
556970,556.97,20
557100,557.1,20
557240,557.24,20
557390,557.39,20
557520,557.52,20
557650,557.65,20
557780,557.78,20
557910,557.91,20
558040,558.04,20
558170,558.17,20
558300,558.3,20
558430,558.43,20
558570,558.57,20
558710,558.71,20
558840,558.84,20
558970,558.97,20
559100,559.1,20
559230,559.23,20
559370,559.37,20
559500,559.5,20
559630,559.63,20
559760,559.76,20
559900,559.9,20
560030,560.03,20
560160,560.16,20
560290,560.29,20
560420,560.42,20
560550,560.55,20
560680,560.68,20
560810,560.81,20
560940,560.94,20
561070,561.07,20
561220,561.22,20
561350,561.35,20
561480,561.48,20
561610,561.61,20
561740,561.74,20
561890,561.89,20
562020,562.02,20
562150,562.15,20
562280,562.28,20
562410,562.41,20
562570,562.57,20
562700,562.7,20
562830,562.83,20
562960,562.96,20
563090,563.09,20
563220,563.22,20
563370,563.37,20
563500,563.5,20
563630,563.63,20
563760,563.76,20
563900,563.9,20
564030,564.03,20
564160,564.16,20
564290,564.29,20
564420,564.42,20
564550,564.55,20
564680,564.68,20
564810,564.81,20
564940,564.94,20
565070,565.07,20
565210,565.21,20
565350,565.35,20
565480,565.48,20
565610,565.61,20
565740,565.74,20
565890,565.89,20
566020,566.02,20
566150,566.15,20
566300,566.3,20
566430,566.43,20
566570,566.57,20
566700,566.7,20
566830,566.83,20
566960,566.96,20
567090,567.09,20
567220,567.22,20
567350,567.35,20
567480,567.48,20
567610,567.61,20
567740,567.74,20
567910,567.91,20
568040,568.04,20
568170,568.17,20
568300,568.3,20
568430,568.43,20
568570,568.57,20
568700,568.7,20
568830,568.83,20
568960,568.96,20
569090,569.09,20
569230,569.23,20
569370,569.37,20
569510,569.51,20
569640,569.64,20
569770,569.77,20
569910,569.91,20
570040,570.04,20
570170,570.17,20
570300,570.3,20
570440,570.44,20
570580,570.58,20
570710,570.71,20
570840,570.84,20
570970,570.97,20
571100,571.1,20
571230,571.23,20
571370,571.37,20
571500,571.5,20
571630,571.63,20
571760,571.76,20
571900,571.9,20
572030,572.03,20
572160,572.16,20
572290,572.29,20
572420,572.42,20
572560,572.56,20
572690,572.69,20
572820,572.82,20
572950,572.95,20
573080,573.08,20
573220,573.22,20
573350,573.35,20
573500,573.5,20
573630,573.63,20
573770,573.77,20
573900,573.9,20
574030,574.03,20
574160,574.16,20
574290,574.29,20
574420,574.42,20
574560,574.56,20
574690,574.69,20
574820,574.82,20
574960,574.96,20
575090,575.09,20
575220,575.22,20
575350,575.35,20
575480,575.48,20
575610,575.61,20
575740,575.74,20
575900,575.9,20
576030,576.03,20
576160,576.16,20
576290,576.29,20
576420,576.42,20
576550,576.55,20
576680,576.68,20
576810,576.81,20
576940,576.94,20
577100,577.1,20
577250,577.25,20
577390,577.39,20
577520,577.52,20
577650,577.65,20
577780,577.78,20
577920,577.92,20
578050,578.05,20
578180,578.18,20
578310,578.31,20
578440,578.44,20
578580,578.58,20
578710,578.71,20
578840,578.84,20
578970,578.97,20
579100,579.1,20
579230,579.23,20
579370,579.37,20
579510,579.51,20
579650,579.65,20
579780,579.78,20
579920,579.92,20
580050,580.05,20
580180,580.18,20
580310,580.31,20
580450,580.45,20
580580,580.58,20
580710,580.71,20
581580,581.58,20
581710,581.71,20
581850,581.85,20
581980,581.98,20
582110,582.11,20
582250,582.25,20
582390,582.39,20
582520,582.52,20
582660,582.66,20
582790,582.79,20
582920,582.92,20
583050,583.05,20
583190,583.19,20
583320,583.32,20
583450,583.45,20
583580,583.58,20
583710,583.71,20
583840,583.84,20
583990,583.99,20
584120,584.12,20
584250,584.25,20
584410,584.41,20
584540,584.54,20
584670,584.67,20
584800,584.8,20
584930,584.93,20
585060,585.06,20
585190,585.19,20
585330,585.33,20
585460,585.46,20
585590,585.59,20
585730,585.73,20
585870,585.87,20
586000,586,20
586130,586.13,20
586260,586.26,20
586400,586.4,20
586770,586.77,20
586910,586.91,20
587040,587.04,20
587170,587.17,20
587300,587.3,20
587430,587.43,20
587570,587.57,20
587700,587.7,20
587830,587.83,20
587960,587.96,20
588090,588.09,20
588230,588.23,20
588380,588.38,20
588510,588.51,20
588640,588.64,20
588780,588.78,20
588910,588.91,20
589040,589.04,20
589170,589.17,20
589300,589.3,20
589430,589.43,20
589580,589.58,20
589710,589.71,20
589840,589.84,20
589970,589.97,20
590100,590.1,20
590230,590.23,20
590360,590.36,20
590490,590.49,20
590620,590.62,20
590760,590.76,20
590900,590.9,20
591030,591.03,20
591160,591.16,20
591300,591.3,20
591430,591.43,20
591570,591.57,20
591700,591.7,20
591830,591.83,20
591990,591.99,20
592120,592.12,20
592260,592.26,20
592390,592.39,20
592520,592.52,20
592650,592.65,20
592790,592.79,20
592920,592.92,20
593050,593.05,20
593180,593.18,20
593320,593.32,20
593450,593.45,20
593600,593.6,20
593730,593.73,20
593860,593.86,20
593990,593.99,20
594120,594.12,20
594250,594.25,20
594380,594.38,20
594510,594.51,20
594640,594.64,20
594770,594.77,20
594910,594.91,20
595050,595.05,20
595180,595.18,20
595320,595.32,20
595450,595.45,20
595610,595.61,20
595740,595.74,20
595870,595.87,20
596010,596.01,20
596140,596.14,20
596280,596.28,20
596410,596.41,20
596540,596.54,20
596670,596.67,20
596800,596.8,20
596930,596.93,20
597070,597.07,20
597200,597.2,20
597330,597.33,20
597460,597.46,20
597600,597.6,20
597730,597.73,20
597870,597.87,20
598000,598,20
598130,598.13,20
598260,598.26,20
598390,598.39,20
598520,598.52,20
598650,598.65,20
598780,598.78,20
598920,598.92,20
599050,599.05,20
599210,599.21,20
599340,599.34,20
599470,599.47,20
599600,599.6,20
599730,599.73,20
599860,599.86,20
599990,599.99,20
600180,600.18,20
600320,600.32,20
600450,600.45,20
600590,600.59,20
600730,600.73,20
600860,600.86,20
600990,600.99,20
601190,601.19,20
601320,601.32,20
601460,601.46,20
601590,601.59,20
601730,601.73,20
601860,601.86,20
601990,601.99,20
602190,602.19,20
602320,602.32,20
602450,602.45,20
602600,602.6,20
602730,602.73,20
602860,602.86,20
603010,603.01,20
603150,603.15,20
603280,603.28,20
603410,603.41,20
603540,603.54,20
603670,603.67,20
603800,603.8,20
603930,603.93,20
604070,604.07,20
604200,604.2,20
604330,604.33,20
604470,604.47,20
604600,604.6,20
604730,604.73,20
604870,604.87,20
605000,605,20
605130,605.13,20
605260,605.26,20
605390,605.39,20
605530,605.53,20
605670,605.67,20
605810,605.81,20
605940,605.94,20
606090,606.09,20
606220,606.22,20
606350,606.35,20
606480,606.48,20
606630,606.63,20
606760,606.76,20
606890,606.89,20
607020,607.02,20
607170,607.17,20
607300,607.3,20
607430,607.43,20
607570,607.57,20
607700,607.7,20
607840,607.84,26
607970,607.97,20
608100,608.1,20
608230,608.23,25
608360,608.36,20
608500,608.5,20
608630,608.63,20
608760,608.76,20
608890,608.89,20
609020,609.02,20
609160,609.16,20
609290,609.29,20
609420,609.42,20
609550,609.55,20
609680,609.68,20
609820,609.82,20
609950,609.95,20
610100,610.1,20
610250,610.25,20
610380,610.38,20
610510,610.51,20
610640,610.64,20
610770,610.77,20
610910,610.91,20
611040,611.04,20
611180,611.18,20
611310,611.31,20
611440,611.44,20
611590,611.59,20
611720,611.72,20
611850,611.85,20
611990,611.99,20
612120,612.12,20
612250,612.25,20
612380,612.38,20
612520,612.52,20
612650,612.65,20
612780,612.78,20
612910,612.91,20
613040,613.04,20
613170,613.17,20
613300,613.3,20
613430,613.43,20
613570,613.57,20
613700,613.7,20
613860,613.86,20
613990,613.99,20
614120,614.12,20
614250,614.25,20
614380,614.38,20
614510,614.51,20
614640,614.64,20
614780,614.78,20
614910,614.91,20
615040,615.04,20
615190,615.19,20
615320,615.32,20
615450,615.45,20
615590,615.59,20
615720,615.72,20
615850,615.85,20
615980,615.98,20
616140,616.14,20
617410,617.41,20
617570,617.57,20
617700,617.7,20
617830,617.83,20
617970,617.97,20
618100,618.1,20
618230,618.23,20
618360,618.36,20
618490,618.49,20
618620,618.62,20
618750,618.75,20
618880,618.88,20
619010,619.01,20
619140,619.14,20
619280,619.28,20
619420,619.42,20
619560,619.56,20
619690,619.69,20
619820,619.82,20
619950,619.95,20
620090,620.09,20
620220,620.22,20
620360,620.36,20
620500,620.5,20
620640,620.64,20
620780,620.78,20
620910,620.91,20
621040,621.04,20
621180,621.18,20
621310,621.31,20
621440,621.44,20
621590,621.59,20
621720,621.72,20
621850,621.85,20
621990,621.99,20
622120,622.12,20
622250,622.25,20
622380,622.38,20
622510,622.51,20
622640,622.64,20
622770,622.77,20
622900,622.9,20
623030,623.03,20
623160,623.16,20
623300,623.3,20
623430,623.43,20
623570,623.57,20
623700,623.7,20
623830,623.83,20
623960,623.96,20
624100,624.1,20
624230,624.23,20
624360,624.36,20
624490,624.49,20
624660,624.66,20
624790,624.79,20
624920,624.92,20
625050,625.05,20
625180,625.18,20
625320,625.32,20
625450,625.45,20
625590,625.59,20
625720,625.72,20
625850,625.85,20
625990,625.99,20
626120,626.12,20
626250,626.25,20
626380,626.38,20
626510,626.51,20
626640,626.64,20
626770,626.77,20
626900,626.9,20
627030,627.03,20
627170,627.17,20
627310,627.31,20
627440,627.44,20
627590,627.59,20
627720,627.72,20
627850,627.85,20
627980,627.98,20
628130,628.13,20
628280,628.28,20
628410,628.41,20
628540,628.54,20
628690,628.69,20
628830,628.83,20
628970,628.97,20
629100,629.1,20
629230,629.23,20
629360,629.36,20
629490,629.49,20
629620,629.62,20
629760,629.76,20
629900,629.9,20
630040,630.04,20
630170,630.17,20
630300,630.3,20
630430,630.43,20
630570,630.57,20
630700,630.7,20
630830,630.83,20
630960,630.96,20
631090,631.09,20
631220,631.22,20
631360,631.36,20
631490,631.49,20
631620,631.62,22
631770,631.77,20
631900,631.9,20
632030,632.03,24
632160,632.16,20
632290,632.29,20
632420,632.42,20
632550,632.55,20
632690,632.69,20
632820,632.82,20
632950,632.95,20
633100,633.1,20
633230,633.23,20
633370,633.37,20
633500,633.5,20
633630,633.63,20
633760,633.76,20
633890,633.89,20
634030,634.03,20
634160,634.16,20
634290,634.29,20
634430,634.43,20
634570,634.57,20
634700,634.7,20
634830,634.83,20
634970,634.97,20
635100,635.1,20
635230,635.23,20
635390,635.39,20
635520,635.52,20
635650,635.65,20
635780,635.78,20
635910,635.91,20
636040,636.04,20
636170,636.17,20
636300,636.3,20
636430,636.43,20
637290,637.29,20
637420,637.42,20
637560,637.56,20
637690,637.69,20
637820,637.82,20
637950,637.95,20
638110,638.11,20
638240,638.24,20
638380,638.38,20
638510,638.51,20
638640,638.64,20
638770,638.77,20
638900,638.9,20
639070,639.07,20
639200,639.2,20
639330,639.33,20
639470,639.47,20
639600,639.6,20
639730,639.73,20
639860,639.86,20
639990,639.99,20
640120,640.12,20
640250,640.25,20
640380,640.38,20
640510,640.51,20
640640,640.64,20
640780,640.78,20
640910,640.91,20
641040,641.04,20
641170,641.17,20
641300,641.3,20
641430,641.43,20
641580,641.58,20
641710,641.71,20
642060,642.06,20
642190,642.19,20
642330,642.33,20
642460,642.46,20
642590,642.59,20
642740,642.74,20
642880,642.88,20
643010,643.01,20
643140,643.14,20
643290,643.29,20
643420,643.42,20
643550,643.55,20
643700,643.7,20
643830,643.83,20
643960,643.96,20
644090,644.09,20
644220,644.22,20
644350,644.35,20
644480,644.48,20
644610,644.61,20
644740,644.74,20
644870,644.87,20
645010,645.01,20
645140,645.14,20
645290,645.29,20
645430,645.43,20
645560,645.56,20
645690,645.69,20
645830,645.83,20
645960,645.96,20
646090,646.09,20
646220,646.22,20
646360,646.36,20
646490,646.49,20
646620,646.62,20
646750,646.75,20
646880,646.88,20
647010,647.01,20
647140,647.14,20
647290,647.29,20
647420,647.42,20
647560,647.56,20
647700,647.7,20
647830,647.83,20
647970,647.97,20
648100,648.1,20
648240,648.24,20
648370,648.37,20
648500,648.5,20
648630,648.63,20
648770,648.77,20
648900,648.9,20
649040,649.04,20
649170,649.17,20
649300,649.3,20
649430,649.43,20
649560,649.56,20
649690,649.69,20
649840,649.84,20
649980,649.98,20
650110,650.11,20
650240,650.24,20
650380,650.38,20
650510,650.51,20
650640,650.64,20
650790,650.79,20
650920,650.92,20
651050,651.05,20
651180,651.18,20
651310,651.31,20
651450,651.45,20
651580,651.58,20
651720,651.72,20
651850,651.85,20
651980,651.98,20
652110,652.11,20
652250,652.25,20
652380,652.38,20
652510,652.51,20
652640,652.64,20
652790,652.79,20
652920,652.92,20
653060,653.06,20
653190,653.19,20
653340,653.34,20
653470,653.47,20
653600,653.6,20
653730,653.73,20
653860,653.86,20
653990,653.99,20
654120,654.12,20
654270,654.27,20
654410,654.41,20
654540,654.54,20
654670,654.67,20
654800,654.8,20
654930,654.93,20
655060,655.06,20
655190,655.19,20
655320,655.32,20
655450,655.45,20
655580,655.58,20
655720,655.72,20
655850,655.85,20
655980,655.98,20
656110,656.11,20
656240,656.24,20
656370,656.37,20
656510,656.51,20
656640,656.64,20
656790,656.79,20
656940,656.94,20
657080,657.08,20
657210,657.21,20
657340,657.34,20
657470,657.47,20
657600,657.6,20
657730,657.73,20
657860,657.86,20
657990,657.99,20
658120,658.12,20
658250,658.25,20
658400,658.4,20
658530,658.53,20
658660,658.66,20
658790,658.79,20
658920,658.92,20
659050,659.05,20
659180,659.18,20
659310,659.31,20
659440,659.44,20
659570,659.57,20
659710,659.71,20
659840,659.84,20
659980,659.98,20
660110,660.11,20
660240,660.24,20
660400,660.4,20
660530,660.53,20
660660,660.66,20
660790,660.79,20
660920,660.92,20
661060,661.06,20
661190,661.19,20
661320,661.32,20
661460,661.46,20
661590,661.59,20
661720,661.72,20
661850,661.85,20
661980,661.98,20
662110,662.11,20
662240,662.24,20
662410,662.41,20
662550,662.55,20
662680,662.68,20
662810,662.81,20
662940,662.94,20
663070,663.07,20
663200,663.2,20
663330,663.33,20
663460,663.46,20
663590,663.59,20
663730,663.73,20
663880,663.88,20
664010,664.01,20
664140,664.14,20
664290,664.29,20
664420,664.42,20
664550,664.55,20
664680,664.68,20
664810,664.81,20
664940,664.94,20
665080,665.08,20
665210,665.21,20
665340,665.34,20
665470,665.47,20
665600,665.6,20
665730,665.73,20
665860,665.86,20
665990,665.99,20
666130,666.13,20
666270,666.27,20
666410,666.41,20
666540,666.54,20
666670,666.67,20
666820,666.82,20
666950,666.95,20
667080,667.08,20
667210,667.21,20
667340,667.34,20
667500,667.5,20
667630,667.63,20
667780,667.78,20
667910,667.91,20
668040,668.04,20
668170,668.17,20
668300,668.3,20
668430,668.43,20
668570,668.57,20
668700,668.7,20
668830,668.83,20
668960,668.96,20
669100,669.1,20
669230,669.23,20
669360,669.36,20
669490,669.49,20
669620,669.62,20
669750,669.75,20
669880,669.88,20
670010,670.01,20
670140,670.14,20
670290,670.29,20
670430,670.43,20
670560,670.56,20
670690,670.69,20
670830,670.83,20
670990,670.99,20
671120,671.12,20
671250,671.25,20
671380,671.38,20
671510,671.51,20
671640,671.64,20
671800,671.8,20
671930,671.93,20
672060,672.06,20
672190,672.19,20
672320,672.32,20
672450,672.45,20
672580,672.58,20
672710,672.71,20
672840,672.84,20
672970,672.97,20
673110,673.11,20
673240,673.24,20
673370,673.37,20
673500,673.5,20
673630,673.63,20
673770,673.77,20
673900,673.9,20
674030,674.03,20
674160,674.16,20
674290,674.29,20
674460,674.46,20
674590,674.59,20
674720,674.72,20
674850,674.85,20
674980,674.98,20
675110,675.11,20
675250,675.25,20
675400,675.4,20
675530,675.53,20
675660,675.66,20
675800,675.8,20
675930,675.93,20
676060,676.06,20
676190,676.19,20
676320,676.32,20
676450,676.45,20
676580,676.58,20
676710,676.71,20
676840,676.84,20
676970,676.97,20
677110,677.11,20
677240,677.24,20
677370,677.37,20
677500,677.5,20
677630,677.63,20
677770,677.77,20
677900,677.9,20
678060,678.06,20
678190,678.19,20
678320,678.32,20
678460,678.46,20
678590,678.59,20
678720,678.72,20
678850,678.85,20
678980,678.98,20
679110,679.11,20
679240,679.24,20
679380,679.38,20
679510,679.51,20
679640,679.64,20
679800,679.8,20
679940,679.94,20
680080,680.08,20
680210,680.21,20
680340,680.34,20
680480,680.48,20
680610,680.61,20
680740,680.74,20
680870,680.87,20
681000,681,20
681140,681.14,20
681290,681.29,20
681420,681.42,20
681570,681.57,20
681700,681.7,20
681830,681.83,20
681960,681.96,20
682090,682.09,20
682220,682.22,20
682350,682.35,20
682490,682.49,20
682620,682.62,20
682750,682.75,20
682880,682.88,20
683010,683.01,20
683140,683.14,20
683290,683.29,20
683420,683.42,20
683550,683.55,20
683690,683.69,20
683830,683.83,20
683960,683.96,20
684090,684.09,20
684220,684.22,20
684350,684.35,20
684490,684.49,20
684620,684.62,20
684770,684.77,20
684900,684.9,20
685060,685.06,20
685200,685.2,20
685330,685.33,20
685460,685.46,20
685590,685.59,20
685720,685.72,20
685850,685.85,20
685980,685.98,20
686110,686.11,20
686240,686.24,20
686370,686.37,20
686510,686.51,20
686640,686.64,20
686790,686.79,20
686920,686.92,20
687050,687.05,20
687180,687.18,20
687310,687.31,20
687440,687.44,20
687570,687.57,20
687700,687.7,20
687850,687.85,20
687980,687.98,20
688110,688.11,20
688240,688.24,20
688370,688.37,20
688520,688.52,20
688650,688.65,20
688790,688.79,20
688920,688.92,20
689060,689.06,20
689200,689.2,20
689340,689.34,20
689470,689.47,20
689600,689.6,20
689730,689.73,20
689870,689.87,20
690000,690,20
690130,690.13,20
690270,690.27,20
690400,690.4,20
690540,690.54,20
690670,690.67,20
690800,690.8,20
690930,690.93,20
691060,691.06,20
691190,691.19,20
691320,691.32,20
691480,691.48,20
691610,691.61,20
691740,691.74,20
691880,691.88,20
692040,692.04,20
692170,692.17,20
692300,692.3,20
692430,692.43,20
692560,692.56,20
692690,692.69,20
692820,692.82,20
692950,692.95,20
693080,693.08,20
693220,693.22,20
693360,693.36,20
693490,693.49,20
693630,693.63,20
693770,693.77,20
693900,693.9,20
694040,694.04,20
694170,694.17,20
694300,694.3,20
694430,694.43,20
694570,694.57,20
694700,694.7,20
694830,694.83,20
694960,694.96,20
695090,695.09,20
695220,695.22,20
695350,695.35,20
695480,695.48,20
695630,695.63,20
695770,695.77,20
695910,695.91,20
696040,696.04,20
696170,696.17,20
696300,696.3,20
696430,696.43,20
696560,696.56,20
696690,696.69,20
697020,697.02,20
697150,697.15,20
697280,697.28,20
697420,697.42,20
697550,697.55,20
697680,697.68,20
697810,697.81,20
697940,697.94,20
698070,698.07,20
698200,698.2,20
698340,698.34,20
698490,698.49,20
698620,698.62,20
698770,698.77,20
698900,698.9,20
699030,699.03,20
699160,699.16,20
699320,699.32,20
699450,699.45,20
699590,699.59,20
699720,699.72,20
699850,699.85,20
699990,699.99,20
700130,700.13,20
700260,700.26,20
700400,700.4,20
700540,700.54,20
700670,700.67,20
700800,700.8,20
700930,700.93,20
701060,701.06,20
701190,701.19,20
701320,701.32,20
701460,701.46,20
701590,701.59,20
701720,701.72,20
701850,701.85,20
701990,701.99,20
702120,702.12,20
702250,702.25,20
703000,703,20
703130,703.13,20
703260,703.26,20
703390,703.39,20
703530,703.53,20
703660,703.66,20
703790,703.79,20
703920,703.92,20
704050,704.05,20
704190,704.19,20
704320,704.32,20
704450,704.45,20
704580,704.58,20
704720,704.72,20
704850,704.85,20
704990,704.99,20
705120,705.12,20
705250,705.25,20
705380,705.38,20
705520,705.52,20
705650,705.65,20
705780,705.78,20
705910,705.91,20
706040,706.04,20
706200,706.2,20
706330,706.33,20
706470,706.47,20
706600,706.6,20
706730,706.73,20
706870,706.87,20
707000,707,20
707130,707.13,20
707270,707.27,20
707400,707.4,20
707530,707.53,20
707660,707.66,20
707790,707.79,20
707920,707.92,20
708050,708.05,20
708200,708.2,20
708330,708.33,20
708470,708.47,20
708600,708.6,20
708730,708.73,20
708860,708.86,20
709000,709,20
709130,709.13,20
709260,709.26,20
709390,709.39,20
709550,709.55,20
709710,709.71,20
709840,709.84,20
709980,709.98,20
710110,710.11,20
710240,710.24,20
710370,710.37,20
710500,710.5,20
710630,710.63,20
710770,710.77,20
710910,710.91,20
711040,711.04,20
711170,711.17,20
711300,711.3,20
711430,711.43,20
711570,711.57,20
711700,711.7,20
711830,711.83,20
711970,711.97,20
712100,712.1,20
712240,712.24,20
712370,712.37,20
712500,712.5,20
712630,712.63,20
712760,712.76,20
712910,712.91,20
713040,713.04,20
713170,713.17,20
713340,713.34,20
713490,713.49,20
713630,713.63,20
713760,713.76,20
713890,713.89,20
714020,714.02,20
714160,714.16,20
714290,714.29,20
714420,714.42,20
714550,714.55,20
714680,714.68,20
714810,714.81,20
714950,714.95,20
715080,715.08,20
715210,715.21,20
715340,715.34,20
715490,715.49,20
715620,715.62,20
715750,715.75,20
715880,715.88,20
716010,716.01,20
716140,716.14,20
716280,716.28,20
716410,716.41,20
716550,716.55,20
716710,716.71,20
716840,716.84,20
716990,716.99,20
717120,717.12,20
717250,717.25,20
717380,717.38,20
717530,717.53,20
717670,717.67,20
717800,717.8,20
717930,717.93,20
718060,718.06,20
718190,718.19,20
718320,718.32,20
718450,718.45,20
718580,718.58,20
718710,718.71,20
718840,718.84,20
719000,719,20
719130,719.13,20
719260,719.26,20
719400,719.4,20
719530,719.53,20
719660,719.66,20
719790,719.79,20
719920,719.92,20
720050,720.05,20
720210,720.21,20
720350,720.35,20
720490,720.49,20
720620,720.62,20
720750,720.75,20
720880,720.88,20
721010,721.01,20
721150,721.15,20
721280,721.28,20
721410,721.41,20
721540,721.54,20
721690,721.69,20
721820,721.82,20
721960,721.96,20
722090,722.09,20
722230,722.23,20
722360,722.36,20
722490,722.49,20
722620,722.62,20
722750,722.75,20
722880,722.88,20
723020,723.02,20
723150,723.15,20
723280,723.28,20
723410,723.41,20
723540,723.54,20
723700,723.7,22
723830,723.83,20
723970,723.97,20
724100,724.1,20
724230,724.23,20
724370,724.37,20
724500,724.5,20
724630,724.63,20
724760,724.76,20
724890,724.89,20
725020,725.02,20
725150,725.15,20
725280,725.28,720
725420,725.42,20
725550,725.55,20
725700,725.7,20
725830,725.83,20
725980,725.98,20
726110,726.11,20
726240,726.24,20
726370,726.37,20
726500,726.5,20
726630,726.63,20
726760,726.76,20
726900,726.9,20
