time_boot_ms,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag
515640,425,-327,-7949,-11,-1,0,0,0,0
516140,424,-327,-7936,-11,1,-3,0,0,0
516640,426,-331,-7937,-12,1,-3,0,0,0
517140,424,-333,-7921,-11,-4,-5,0,0,0
517640,418,-322,-7918,-13,-2,-3,0,0,0
518140,425,-333,-7944,-13,-1,-1,0,0,0
518640,422,-318,-7945,-12,-8,0,0,0,0
519140,420,-333,-7936,-7,-3,-3,0,0,0
519640,426,-333,-7940,-14,-1,-3,0,0,0
520140,427,-324,-7936,-11,-5,-2,0,0,0
520640,419,-325,-7939,-12,-5,-4,0,0,0
521140,418,-332,-7932,-13,0,-3,0,0,0
521640,419,-328,-7937,-8,-1,-2,0,0,0
522140,425,-330,-7944,-11,-5,-4,0,0,0
522640,425,-328,-7931,-12,-4,-4,0,0,0
523140,416,-332,-7934,-11,-1,-3,0,0,0
523640,423,-330,-7937,-11,-4,-4,0,0,0
524140,427,-328,-7932,-8,-9,-4,0,0,0
524640,419,-330,-7928,-16,-1,-5,0,0,0
525140,424,-331,-7928,-11,-3,-3,0,0,0
525640,427,-324,-7933,-8,-3,-3,0,0,0
526140,418,-334,-7939,-12,-3,-3,0,0,0
526640,420,-332,-7941,-13,-4,-3,0,0,0
527140,434,-324,-7935,-10,-3,-3,0,0,0
527640,431,-326,-7939,-13,-1,-5,0,0,0
528140,420,-332,-7943,-12,-4,-3,0,0,0
528640,420,-327,-7943,-12,-3,-4,0,0,0
529140,425,-332,-7943,-13,-2,-5,0,0,0
529640,427,-334,-7939,-3,-8,0,0,0,0
530640,420,-334,-7934,-10,-9,-1,0,0,0
531140,426,-333,-7933,-12,-4,-4,0,0,0
531770,422,-323,-7936,-13,-5,-4,0,0,0
532240,427,-327,-7945,-13,0,-3,0,0,0
532740,426,-328,-7930,-11,-3,-3,0,0,0
533240,431,-327,-7940,-9,-3,-3,0,0,0
533740,422,-333,-7939,-14,-1,-4,0,0,0
534240,422,-334,-7937,-11,-3,-4,0,0,0
534740,421,-335,-7932,-11,-1,-5,0,0,0
535240,407,-327,-7947,-12,-6,-3,0,0,0
535740,429,-330,-7933,-10,0,-4,0,0,0
536240,428,-333,-7943,-10,-6,-2,0,0,0
536750,419,-333,-7942,-10,-7,-3,0,0,0
537240,426,-330,-7933,-11,-4,-1,0,0,0
537740,420,-333,-7946,-12,-3,-1,0,0,0
538240,419,-331,-7935,-10,-6,-5,0,0,0
538740,417,-335,-7933,-15,-5,-4,0,0,0
539240,416,-333,-7950,-11,-2,-3,0,0,0
539740,425,-324,-7937,-13,-4,-4,0,0,0
540240,424,-339,-7942,-12,-5,-2,0,0,0
540740,423,-335,-7940,0,-5,1,0,0,0
541240,424,-339,-7932,-12,2,-6,0,0,0
541740,425,-335,-7949,-11,-5,-4,0,0,0
542240,426,-331,-7950,-11,-5,-3,0,0,0
542740,427,-327,-7943,-12,-5,-5,0,0,0
543240,419,-330,-7939,-13,-3,-3,0,0,0
543740,414,-328,-7938,-12,-4,-1,0,0,0
544240,427,-331,-7950,-14,-3,-2,0,0,0
544740,424,-333,-7930,-12,-6,-7,0,0,0
545240,422,-333,-7940,-12,-4,-4,0,0,0
545740,416,-332,-7945,-12,-4,0,0,0,0
546240,426,-330,-7943,-12,-3,-2,0,0,0
546740,424,-326,-7941,-18,-1,-4,0,0,0
547240,420,-332,-7947,-11,-6,-9,0,0,0
547740,423,-329,-7947,-15,-3,-6,0,0,0
548240,426,-327,-7938,-9,-7,-1,0,0,0
548740,430,-334,-7948,-13,-5,-4,0,0,0
549240,418,-327,-7954,-12,-3,-3,0,0,0
549740,415,-332,-7940,-15,-3,-3,0,0,0
550240,421,-328,-7941,-16,-2,-3,0,0,0
550740,421,-340,-7946,-13,-4,-5,0,0,0
551240,423,-323,-7938,-9,-2,-4,0,0,0
551740,421,-330,-7938,-14,-3,-9,0,0,0
552240,418,-307,-7944,-8,4,-3,0,0,0
552740,437,-339,-7943,-16,4,-9,0,0,0
553240,425,-333,-7937,-18,-9,-4,0,0,0
553740,425,-327,-7933,-13,-1,-2,0,0,0
554240,421,-331,-7935,-10,-4,-6,0,0,0
554740,419,-332,-7944,-13,-2,-5,0,0,0
555240,424,-334,-7942,-14,-4,-5,0,0,0
555740,422,-328,-7940,-14,-5,-6,0,0,0
556240,422,-327,-7948,-12,1,-7,0,0,0
556740,420,-336,-7940,-14,-4,-5,0,0,0
557240,421,-328,-7943,-14,-3,-9,0,0,0
557740,427,-323,-7952,-14,0,-6,0,0,0
558240,420,-334,-7950,-20,1,-6,0,0,0
558740,426,-330,-7946,-14,-5,-3,0,0,0
559240,424,-344,-7941,-13,0,-3,0,0,0
559740,419,-335,-7947,-14,-3,-6,0,0,0
560240,429,-338,-7942,-13,-5,-12,0,0,0
560740,419,-329,-7941,-15,-5,-5,0,0,0
561240,416,-330,-7942,-15,-3,-6,0,0,0
561740,416,-330,-7954,-13,-3,-9,0,0,0
562240,426,-333,-7949,-13,-5,-7,0,0,0
562740,418,-331,-7953,-11,-3,-5,0,0,0
563240,427,-332,-7951,-15,-3,-7,0,0,0
563740,423,-327,-7948,-14,-2,-3,0,0,0
564240,424,-333,-7944,-15,-1,-4,0,0,0
564740,427,-331,-7954,-14,-4,-6,0,0,0
565240,419,-334,-7941,-14,-4,-6,0,0,0
565740,422,-328,-7939,-12,-2,-2,0,0,0
566240,425,-324,-7951,-14,1,-3,0,0,0
566740,427,-335,-7948,-13,-5,-7,0,0,0
567240,418,-333,-7956,-17,-2,-7,0,0,0
567740,425,-335,-7953,-14,-3,-7,0,0,0
568240,426,-330,-7955,-14,-2,-5,0,0,0
568740,427,-329,-7932,-14,-3,-2,0,0,0
569240,416,-332,-7954,-14,-5,-5,0,0,0
569740,417,-338,-7940,-11,-4,-1,0,0,0
570240,422,-333,-7941,-17,-12,-4,0,0,0
570740,421,-328,-7945,-17,-4,-5,0,0,0
571240,419,-329,-7942,-11,-2,0,0,0,0
571740,430,-332,-7931,-13,-2,-4,0,0,0
572240,418,-343,-7943,-14,-7,-3,0,0,0
572740,417,-333,-7935,-13,-2,-3,0,0,0
573240,418,-322,-7937,-12,-5,-5,0,0,0
573740,420,-333,-7947,-13,-3,-4,0,0,0
574240,420,-331,-7942,-16,-3,-2,0,0,0
574740,420,-329,-7948,-13,-5,0,0,0,0
575240,428,-333,-7940,-11,-3,-4,0,0,0
575740,434,-356,-7936,-17,1,-11,0,0,0
576240,420,-333,-7945,-13,-9,-4,0,0,0
576740,428,-328,-7938,-10,-5,-3,0,0,0
577240,428,-333,-7955,-10,-7,-6,0,0,0
577740,420,-329,-7935,-12,-4,-6,0,0,0
578240,418,-337,-7943,-15,-5,-1,0,0,0
578740,422,-327,-7941,-15,-1,-5,0,0,0
579240,419,-326,-7935,-11,-1,-4,0,0,0
579740,420,-335,-7945,-15,-5,-1,0,0,0
580240,421,-336,-7943,-12,-3,-4,0,0,0
580740,426,-335,-7943,-15,1,-4,0,0,0
581740,413,-335,-7946,-14,-3,-3,0,0,0
582240,417,-330,-7947,-12,1,-4,0,0,0
582740,431,-334,-7945,-14,-4,-4,0,0,0
583240,428,-326,-7940,-16,-5,-9,0,0,0
583740,419,-329,-7939,-14,-1,-1,0,0,0
584240,427,-333,-7945,-17,-5,-9,0,0,0
584740,425,-333,-7944,-15,-4,-5,0,0,0
585240,424,-332,-7935,-13,-3,-2,0,0,0
585740,420,-338,-7947,-12,-2,-4,0,0,0
586240,431,-333,-7945,-14,-7,-1,0,0,0
586940,421,-333,-7943,-11,0,-4,0,0,0
587440,416,-333,-7926,-12,0,-6,0,0,0
587940,429,-334,-7943,-19,-3,-3,0,0,0
588440,424,-330,-7942,-14,-4,-4,0,0,0
588940,425,-327,-7939,-14,-3,-6,0,0,0
589440,422,-338,-7938,-13,-3,-5,0,0,0
589940,427,-328,-7952,-15,0,-7,0,0,0
590440,427,-336,-7945,-11,-2,-5,0,0,0
590940,415,-341,-7937,-13,-1,-6,0,0,0
591440,425,-325,-7940,-13,-1,-5,0,0,0
