time_boot_ms,distance
514940,20
515350,20
515490,20
515620,20
515750,20
515890,20
516020,20
516150,20
516290,20
516420,20
516550,20
516690,20
516830,20
516960,20
517090,20
517220,20
517350,20
517480,20
517610,20
517740,20
517880,20
518010,20
518170,20
518300,20
518430,20
518560,20
518690,20
518820,20
518960,20
519090,20
519220,20
519350,20
519490,20
519620,20
519750,20
519880,20
520010,20
520140,20
520290,20
520430,20
520560,20
520690,20
520830,20
520960,20
521090,20
521220,20
521360,20
521490,20
521620,20
521750,20
521880,20
522010,20
522150,20
522290,20
522420,20
522550,20
522680,20
522810,20
522940,20
523080,20
523220,20
523350,20
523490,20
523620,20
523750,20
523880,20
524010,20
524140,20
524290,20
524420,20
524550,20
524680,20
524820,20
524960,20
525090,20
525220,20
525350,20
525500,20
525630,20
525770,20
525910,20
526040,20
526180,20
526310,20
526440,20
526570,20
526700,20
526830,20
526960,20
527090,20
527220,20
527360,20
527500,20
527630,20
527770,20
527900,20
528030,20
528170,20
528300,20
528430,20
528560,20
528690,20
528830,20
528970,20
529100,20
529250,20
529380,20
529520,20
529650,20
529790,20
530210,20
530340,20
530470,20
530610,20
530740,20
530870,20
531000,20
531130,20
531270,20
531400,20
531540,20
531910,20
532040,20
532170,20
532300,20
532430,20
532560,20
532690,20
532820,20
532950,20
533110,20
533240,20
533390,20
533520,20
533650,20
533780,20
533910,20
534040,20
534170,20
534310,20
534450,20
534580,20
534710,20
534840,20
534970,20
535100,20
535240,20
535390,20
535520,20
535650,20
535790,20
535930,20
536070,20
536200,20
536330,20
536460,20
536590,20
536720,20
536880,20
537010,20
537150,20
537280,20
537410,20
537540,20
537670,20
537800,20
537930,20
538060,20
538190,20
538320,20
538460,20
538590,20
538730,20
538870,20
539000,20
539130,20
539540,20
539680,20
539820,20
539950,20
540100,20
540230,20
540370,20
540520,20
540650,20
540780,20
540910,20
541040,20
541180,20
541310,20
541440,20
541570,20
541700,20
541830,20
541960,20
542100,20
542230,20
542370,20
542510,20
542640,20
542770,20
542900,20
543030,20
543160,20
543300,20
543430,20
543560,20
543690,20
543830,20
543960,20
544110,20
544240,20
544400,20
544530,20
544670,31
544810,20
544940,20
545070,20
545210,20
545340,20
545480,20
545610,20
545740,20
545890,20
546020,20
546150,20
546280,20
546410,20
546550,20
546680,20
546810,20
546940,20
547070,20
547200,20
547340,20
547470,20
547600,20
547730,20
547910,20
548040,20
548180,20
548310,20
548440,20
548580,20
548710,20
548840,20
548980,20
549110,20
549250,20
549400,20
549530,20
549660,20
549790,20
549920,20
550050,20
550180,20
550310,20
550440,20
550580,20
550720,20
550850,20
550980,20
551110,20
551240,20
551390,20
551540,20
551670,20
551800,20
551940,20
552070,20
552200,20
552330,20
552460,20
552590,20
552720,20
552870,20
553000,20
553130,20
553270,20
553400,20
553530,20
553660,20
553790,20
553920,20
554060,20
554190,20
554320,20
554450,20
554590,20
554720,20
554850,20
554980,20
555110,20
555260,20
555390,20
555520,20
555650,20
555780,20
555920,20
556050,20
556180,20
556310,20
556440,20
556570,20
556700,20
556830,20
556970,20
557100,20
557240,20
557390,20
557520,20
557650,20
557780,20
557910,20
558040,20
558170,20
558300,20
558430,20
558570,20
558710,20
558840,20
558970,20
559100,20
559230,20
559370,20
559500,20
559630,20
559760,20
559900,20
560030,20
560160,20
560290,20
560420,20
560550,20
560680,20
560810,20
560940,20
561070,20
561220,20
561350,20
561480,20
561610,20
561740,20
561890,20
562020,20
562150,20
562280,20
562410,20
562570,20
562700,20
562830,20
562960,20
563090,20
563220,20
563370,20
563500,20
563630,20
563760,20
563900,20
564030,20
564160,20
564290,20
564420,20
564550,20
564680,20
564810,20
564940,20
565070,20
565210,20
565350,20
565480,20
565610,20
565740,20
565890,20
566020,20
566150,20
566300,20
566430,20
566570,20
566700,20
566830,20
566960,20
567090,20
567220,20
567350,20
567480,20
567610,20
567740,20
567910,20
568040,20
568170,20
568300,20
568430,20
568570,20
568700,20
568830,20
568960,20
569090,20
569230,20
569370,20
569510,20
569640,20
569770,20
569910,20
570040,20
570170,20
570300,20
570440,20
570580,20
570710,20
570840,20
570970,20
571100,20
571230,20
571370,20
571500,20
571630,20
571760,20
571900,20
572030,20
572160,20
572290,20
572420,20
572560,20
572690,20
572820,20
572950,20
573080,20
573220,20
573350,20
573500,20
573630,20
573770,20
573900,20
574030,20
574160,20
574290,20
574420,20
574560,20
574690,20
574820,20
574960,20
575090,20
575220,20
575350,20
575480,20
575610,20
575740,20
575900,20
576030,20
576160,20
576290,20
576420,20
576550,20
576680,20
576810,20
576940,20
577100,20
577250,20
577390,20
577520,20
577650,20
577780,20
577920,20
578050,20
578180,20
578310,20
578440,20
578580,20
578710,20
578840,20
578970,20
579100,20
579230,20
579370,20
579510,20
579650,20
579780,20
579920,20
580050,20
580180,20
580310,20
580450,20
580580,20
580710,20
581580,20
581710,20
581850,20
581980,20
582110,20
582250,20
582390,20
582520,20
582660,20
582790,20
582920,20
583050,20
583190,20
583320,20
583450,20
583580,20
583710,20
583840,20
583990,20
584120,20
584250,20
584410,20
584540,20
584670,20
584800,20
584930,20
585060,20
585190,20
585330,20
585460,20
585590,20
585730,20
585870,20
586000,20
586130,20
586260,20
586400,20
586770,20
586910,20
587040,20
587170,20
587300,20
587430,20
587570,20
587700,20
587830,20
587960,20
588090,20
588230,20
588380,20
588510,20
588640,20
588780,20
588910,20
589040,20
589170,20
589300,20
589430,20
589580,20
589710,20
589840,20
589970,20
590100,20
590230,20
590360,20
590490,20
590620,20
590760,20
590900,20
591030,20
591160,20
591300,20
591430,20
591570,20
591700,20
591830,20
591990,20
592120,20
592260,20
592390,20
592520,20
592650,20
592790,20
592920,20
593050,20
593180,20
593320,20
593450,20
593600,20
593730,20
593860,20
593990,20
594120,20
594250,20
594380,20
594510,20
594640,20
594770,20
594910,20
595050,20
595180,20
595320,20
595450,20
595610,20
595740,20
595870,20
596010,20
596140,20
596280,20
596410,20
596540,20
596670,20
596800,20
596930,20
597070,20
597200,20
597330,20
597460,20
597600,20
597730,20
597870,20
598000,20
598130,20
598260,20
598390,20
598520,20
598650,20
598780,20
598920,20
599050,20
599210,20
599340,20
599470,20
599600,20
599730,20
599860,20
599990,20
600180,20
600320,20
600450,20
600590,20
600730,20
600860,20
600990,20
601190,20
601320,20
601460,20
601590,20
601730,20
601860,20
601990,20
602190,20
602320,20
602450,20
602600,20
602730,20
602860,20
603010,20
603150,20
603280,20
603410,20
603540,20
603670,20
603800,20
603930,20
604070,20
604200,20
604330,20
604470,20
604600,20
604730,20
604870,20
605000,20
605130,20
605260,20
605390,20
605530,20
605670,20
605810,20
605940,20
606090,20
606220,20
606350,20
606480,20
606630,20
606760,20
606890,20
607020,20
607170,20
607300,20
607430,20
607570,20
607700,20
607840,26
607970,20
608100,20
608230,25
608360,20
608500,20
608630,20
608760,20
608890,20
609020,20
609160,20
609290,20
609420,20
609550,20
609680,20
609820,20
609950,20
610100,20
610250,20
610380,20
610510,20
610640,20
610770,20
610910,20
611040,20
611180,20
611310,20
611440,20
611590,20
611720,20
611850,20
611990,20
612120,20
612250,20
612380,20
612520,20
612650,20
612780,20
612910,20
613040,20
613170,20
613300,20
613430,20
613570,20
613700,20
613860,20
613990,20
614120,20
614250,20
614380,20
614510,20
614640,20
614780,20
614910,20
615040,20
615190,20
615320,20
615450,20
