time_boot_ms,luminosity
862180,0
869600,0
869730,0
869860,0
869990,0
870120,0
870250,0
870380,0
870510,0
870640,0
870770,0
870910,0
871040,0
871170,0
871330,0
871470,0
871750,0
871880,0
872060,0
872190,0
872330,0
872470,0
872600,0
872730,0
873070,0
873210,0
873340,0
873490,0
873620,0
874060,0
874200,0
874350,0
874490,0
874620,0
874750,0
875060,0
875220,0
875350,0
875490,0
875620,0
875760,0
876060,0
876190,0
876320,0
876450,0
876590,0
876720,0
876850,0
877060,0
877190,0
877330,0
877470,0
877600,0
877730,0
877860,0
878060,0
878190,0
878320,0
878450,0
878580,0
878750,0
878880,0
879070,0
879200,0
879340,0
879490,0
879620,0
879750,0
880060,0
880190,0
880330,0
880470,0
880600,0
880730,0
881070,0
881200,0
881340,0
881490,0
881620,0
881750,0
881890,0
882070,0
882200,0
882330,0
882500,0
882630,0
882760,0
882890,0
883070,0
883200,0
884510,0
884650,0
884790,0
884920,0
885080,0
885210,0
885350,0
885490,0
885620,0
885760,0
885920,0
886080,0
886220,0
886350,0
886490,0
886620,0
886750,0
886880,0
887090,0
887220,0
887350,0
887490,0
887630,0
887760,0
887890,0
888090,0
888220,0
888350,0
888490,0
888620,0
888750,0
889090,0
889230,0
889370,0
889520,0
889650,0
889790,0
890100,0
890230,0
890370,0
890510,0
890640,0
890780,0
890910,0
891240,0
891370,0
891500,0
891630,0
891760,0
892100,0
892230,0
892370,0
892500,0
892630,0
892760,0
892890,0
893110,0
893240,0
893370,0
893500,0
893630,0
893770,0
894110,0
894240,0
894370,0
894510,0
894640,0
894770,0
894900,0
895110,0
895250,0
895390,0
895520,0
895650,0
895780,0
895910,0
896120,0
896250,0
896380,0
896510,0
896640,0
896810,0
896940,0
897120,0
897250,0
897380,0
897510,0
897640,0
897770,0
897900,0
898120,0
898260,0
898390,0
898520,0
898650,0
898780,0
898910,0
899130,0
899260,0
899400,0
899530,0
899680,0
899810,0
899950,0
900130,0
900260,0
900390,0
900520,0
900790,0
900920,0
901140,0
901280,0
