time_boot_ms,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag
183670,612,-78,893,-534,-850,528,32767,32767,32767
183770,569,-82,847,-714,-1317,517,32767,32767,32767
183870,519,-96,788,-404,-574,179,32767,32767,32767
183970,546,-98,797,27,587,-234,32767,32767,32767
184070,610,-88,847,291,1072,-361,32767,32767,32767
184170,641,-85,868,133,464,-241,32767,32767,32767
184270,620,-85,881,-365,-622,-46,32767,32767,32767
184380,590,-78,859,-741,-1046,112,32767,32767,32767
184470,557,-84,811,-708,-493,162,32767,32767,32767
184570,559,-91,793,-370,499,75,32767,32767,32767
184670,590,-94,818,22,916,-82,32767,32767,32767
184770,615,-93,839,189,379,-194,32767,32767,32767
184870,615,-93,868,-5,-573,-189,32767,32767,32767
184970,597,-83,862,-361,-925,-92,32767,32767,32767
185280,609,-86,808,-242,765,146,32767,32767,32767
185370,609,-92,822,58,232,120,32767,32767,32767
185470,605,-93,847,85,-553,16,32767,32767,32767
185570,592,-87,852,-58,-806,-13,32767,32767,32767
185670,574,-83,839,-207,-314,65,32767,32767,32767
185780,584,-84,835,-305,476,162,32767,32767,32767
185870,600,-89,834,-317,632,169,32767,32767,32767
185970,595,-92,830,-296,97,27,32767,32767,32767
186070,589,-93,833,-251,-549,-172,32767,32767,32767
186170,580,-95,840,-216,-633,-270,32767,32767,32767
186270,578,-89,835,-302,-112,-239,32767,32767,32767
186370,593,-83,833,-345,435,-141,32767,32767,32767
186470,619,-81,829,-351,485,-12,32767,32767,32767
186570,618,-82,823,-213,-39,137,32767,32767,32767
186670,596,-88,832,-154,-516,152,32767,32767,32767
186770,581,-87,830,-113,-504,126,32767,32767,32767
186870,575,-98,832,-87,-53,133,32767,32767,32767
186970,587,-95,835,-144,379,161,32767,32767,32767
187070,598,-90,834,-154,346,139,32767,32767,32767
187170,592,-91,839,-182,-89,32,32767,32767,32767
187270,584,-101,843,-274,-440,-87,32767,32767,32767
187370,575,-94,834,-360,-365,-137,32767,32767,32767
187470,579,-86,827,-340,24,-159,32767,32767,32767
187570,592,-86,829,-285,324,-149,32767,32767,32767
187670,606,-87,833,-248,239,-118,32767,32767,32767
187770,606,-87,835,-262,-121,-76,32767,32767,32767
187870,596,-86,834,-280,-378,-43,32767,32767,32767
187970,585,-84,830,-267,-281,-11,32767,32767,32767
188070,585,-85,825,-222,47,28,32767,32767,32767
188170,594,-87,830,-167,260,63,32767,32767,32767
188270,602,-88,833,-149,157,87,32767,32767,32767
188370,597,-89,839,-180,-145,73,32767,32767,32767
188470,587,-88,839,-228,-324,44,32767,32767,32767
188570,580,-89,833,-249,-215,11,32767,32767,32767
